SnapshotID,FileID,ParentDirectoryID,FileNameHash,FileExtension,FileType,Unknown,FileSize,AllocatedSize,Timestamp,ClusterSize,Attributes,Meta,FileDate,FileSizeMB,FileAgeYears
56830,a2b29600f5b2d2bebeb0,62acf5b409c69bba8a1a,53ac255fce32b76a6b55,-458511569,o,NTFS,21465292800,72793694208,127105502533950000,4096,459007,502,2003-10-13 20:24:13.394999981,20470.8984375,1.4273972602739726
56831,a2b29600f5b2d2bebeb0,62acf5b409c69bba8a1a,53ac255fce32b76a6b55,-197253214,d,NTFS,839155712,2097412096,127105502347860000,2048,459007,502,2003-10-13 20:23:54.786000013,800.28125,1.4273972602739726
56832,a2b29600f5b2d2bebeb0,62acf5b409c69bba8a1a,92416a890ce68d34fb75,-54775626,c,NTFS,2827092480,9097126912,127105501877240000,512,459007,502,2003-10-13 20:23:07.723999977,2696.12548828125,1.4273972602739726
56833,a2b29600f5b2d2bebeb0,cd9af586dfbcd4054c5f,eb17bfe0ed80e9c43f34,145088170,c,NTFS,14883360768,29997559808,127105498204860000,4096,459007,198,2003-10-13 20:17:00.485999942,14193.87890625,1.4273972602739726
56834,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,0954b00875537c7d246a,-1875951172,d,NTFS,691873792,2097412096,127105505825180000,2048,459007,198,2003-10-13 20:29:42.518000007,659.822265625,1.4273972602739726
56835,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,121290dd8c55e3213768,269692902,e,NTFS,9907126272,109182332928,127105505869550000,4096,459007,198,2003-10-13 20:29:46.955000043,9448.171875,1.4273972602739726
56836,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,00cc6683d30c1952b465,-498124145,f,NTFS,14607728640,18844082176,127105505872050000,4096,459007,198,2003-10-13 20:29:47.205000043,13931.015625,1.4273972602739726
56837,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,d288d8f2cbbf46455fdb,238432737,g,NTFS,2029582336,2097412096,127105505932370000,2048,459007,198,2003-10-13 20:29:53.236999989,1935.560546875,1.4273972602739726
56838,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,cf0c88b5df1abc6f18cc,-1866266005,h,NTFS,458752,109215264768,127105505953610000,4096,459007,198,2003-10-13 20:29:55.360999942,0.4375,1.4273972602739726
56839,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,f9800d686b746ea6f4c0,-635110391,r,NTFS,10457088,72785469440,127105505972210000,4096,459007,198,2003-10-13 20:29:57.220999956,9.97265625,1.4273972602739726
56840,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,9f1f75afd251c611247c,805449669,i,NTFS,13739282432,109215264768,127105505955330000,4096,459007,198,2003-10-13 20:29:55.532999992,13102.80078125,1.4273972602739726
56841,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,657dd7aa0114d523b55a,1490360430,j,NTFS,5115904,109215264768,127105505959240000,4096,459007,198,2003-10-13 20:29:55.924000025,4.87890625,1.4273972602739726
56842,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,f6a800e7c8afc5254309,1646460878,k,NTFS,17522606080,109215264768,127105505960020000,4096,459007,198,2003-10-13 20:29:56.001999973,16710.859375,1.4273972602739726
56843,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,e0c98a8837f9b320a921,-1529631263,l,NTFS,21269954560,109223456768,127105505961430000,4096,459007,198,2003-10-13 20:29:56.143000007,20284.609375,1.4273972602739726
56844,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,315b6009f9e1d0c021b9,608634795,m,NTFS,10473472,109223456768,127105505961900000,4096,459007,198,2003-10-13 20:29:56.190000057,9.98828125,1.4273972602739726
56845,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,41c38878d2730edbdf00,-1000538190,n,NTFS,46589628416,109223456768,127105505962520000,4096,459007,198,2003-10-13 20:29:56.251999974,44431.33203125,1.4273972602739726
56846,a2b29600f5b2d2bebeb0,f6e4776c790f5e8ba9cb,718fb9f9dc580cbe6324,1083874102,o,NTFS,34344415232,109215264768,127105505963150000,4096,459007,198,2003-10-13 20:29:56.315000057,32753.38671875,1.4273972602739726
